#      a       b    E   k  Ete Ete (%)      Ite (%)
#------- ------- ---- --- ---- ------- ------------
     0.1     0.1 1644  200 833    34.8  [32.9, 36.7]
     0.1     1.0 2788  200 647    27.0  [25.2, 28.8]
     0.1    10.0 4424  200 673    28.1  [26.3, 29.9]
     0.1   100.0 5565  200 1140    47.6  [45.6, 49.6]
     0.1  1000.0 5566  200 1171    48.9  [46.9, 50.9]
     0.1 10000.0 5590  200 1171    48.9  [46.9, 50.9]
     1.0     0.1 1150  200 732    30.6  [28.7, 32.4]
     1.0     1.0 1644  200 833    34.8  [32.9, 36.7]
     1.0    10.0 2788  200 647    27.0  [25.2, 28.8]
     1.0   100.0 4424  200 673    28.1  [26.3, 29.9]
     1.0  1000.0 5565  200 1140    47.6  [45.6, 49.6]
     1.0 10000.0 5566  200 1171    48.9  [46.9, 50.9]
    10.0     0.1 1052  200 813    33.9  [32.0, 35.8]
    10.0     1.0 1150  200 732    30.6  [28.7, 32.4]
    10.0    10.0 1644  200 833    34.8  [32.9, 36.7]
    10.0   100.0 2788  200 647    27.0  [25.2, 28.8]
    10.0  1000.0 4424  200 673    28.1  [26.3, 29.9]
    10.0 10000.0 5565  200 1140    47.6  [45.6, 49.6]
   100.0     0.1 1032  200 828    34.6  [32.7, 36.5]
   100.0     1.0 1052  200 813    33.9  [32.0, 35.8]
   100.0    10.0 1150  200 732    30.6  [28.7, 32.4]
   100.0   100.0 1644  200 833    34.8  [32.9, 36.7]
   100.0  1000.0 2788  200 647    27.0  [25.2, 28.8]
   100.0 10000.0 4424  200 673    28.1  [26.3, 29.9]
  1000.0     0.1 1026  200 831    34.7  [32.8, 36.6]
  1000.0     1.0 1032  200 828    34.6  [32.7, 36.5]
  1000.0    10.0 1052  200 813    33.9  [32.0, 35.8]
  1000.0   100.0 1150  200 732    30.6  [28.7, 32.4]
  1000.0  1000.0 1644  200 833    34.8  [32.9, 36.7]
  1000.0 10000.0 2788  200 647    27.0  [25.2, 28.8]
 10000.0     0.1 1020  200 826    34.5  [32.6, 36.4]
 10000.0     1.0 1026  200 831    34.7  [32.8, 36.6]
 10000.0    10.0 1032  200 828    34.6  [32.7, 36.5]
 10000.0   100.0 1052  200 813    33.9  [32.0, 35.8]
 10000.0  1000.0 1150  200 732    30.6  [28.7, 32.4]
 10000.0 10000.0 1644  200 833    34.8  [32.9, 36.7]

--------------TABLA DE MEJOR RESULTADO--------------
           Task       a       b Ete (%)      Ite (%)      k
--------------- ------- ------- ------- ------------ ------
   datos/videos     0.1     1.0    27.0  [25.2, 28.8]    200
