------------------------------------------------------------ time -----------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10        0.01        0.01        0.00        0.00        0.00        0.00        0.01        0.01        0.03        0.03
   11        0.03        0.03        0.01        0.01        0.01        0.01        0.02        0.02        0.07        0.07
   12        0.05        0.06        0.01        0.01        0.01        0.01        0.03        0.03        0.12        0.12
   13        0.36        0.48        0.14        0.14        0.09        0.08        0.21        0.25        0.71        0.69
   14        0.61        0.74        0.10        0.10        0.06        0.13        0.39        0.36        1.11        1.10
   15        1.31        1.59        0.06        0.06        0.04        0.04        0.59        0.88        2.12        2.03
   16        2.93        3.84        0.23        0.25        0.14        0.15        1.12        1.23        4.04        3.83
   17       12.86       10.65        1.73        1.67        0.59        0.59        1.51        1.62        2.96        2.98
   18        3.35        4.29        0.00        0.00        0.01        0.01        0.93        1.24        3.40        3.36
   19       56.84       58.66        0.49        0.60        0.35        0.36       17.99       20.03       37.28       46.96
   20      219.60      206.39        2.03        2.65        0.67        0.68       66.42       67.60      120.79      124.13

--------------------------------------------------------- iterations --------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10     2863.00     2863.00      581.00      581.00       97.00       97.00     1304.50     1304.50     1215.50     1215.50
   11     7585.50     7585.50     1504.00     1504.00      220.00      220.00     3734.00     3734.00     3011.50     3011.50
   12    13404.50    13404.50     1876.50     1876.50      288.50      288.50     5750.00     5750.00     4348.50     4348.50
   13    77733.00    77733.00    18980.00    18980.00     1605.50     1605.50    32975.50    32975.50    25423.00    25423.00
   14   120005.50   120005.50    11957.50    11957.50      718.00      718.00    52737.00    52737.00    44571.00    44571.00
   15   194106.50   194106.50     8019.50     8019.50      508.50      508.50    81216.00    81216.00    54404.50    54404.50
   16   336964.50   336964.50    35110.50    35110.50     1978.00     1978.00   158300.00   158300.00   123467.50   123467.50
   17   976828.50   976828.50   239908.50   239908.50    11055.50    11055.50   175769.50   175769.50    85305.00    85305.00
   18   332407.50   332407.50      394.00      394.00       71.50       71.50    96153.50    96153.50    66234.00    66234.00
   19  4031094.00  4031094.00    64059.00    64059.00     4935.00     4935.00  1425995.50  1425995.50   865549.00   865549.00
   20 10112634.50 10112634.50   201253.00   201253.00     8376.00     8376.00  4244197.00  4244197.00  2747868.50  2747868.50

--------------------------------------------------------- gen_states --------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10     4612.00     4612.00     1189.50     1189.50      278.00      278.00     2567.50     2567.50     2399.50     2399.50
   11    10480.00    10480.00     2736.50     2736.50      579.50      579.50     6134.00     6134.00     5434.00     5434.00
   12    22357.00    22357.00     3796.50     3796.50      822.50      822.50    11056.50    11056.50     8756.50     8756.50
   13   114081.50   114081.50    32973.50    32973.50     4423.50     4423.50    59307.00    59307.00    51168.50    51168.50
   14   180200.50   180200.50    23541.00    23541.00     2113.00     2113.00    93476.00    93476.00    81575.00    81575.00
   15   328972.50   328972.50    18127.50    18127.50     1519.00     1519.00   160334.00   160334.00   121314.00   121314.00
   16   507694.00   507694.00    64832.50    64832.50     5332.00     5332.00   280340.50   280340.50   233279.00   233279.00
   17  1241179.00  1241179.00   359895.00   359895.00    27313.50    27313.50   326883.00   326883.00   180417.50   180417.50
   18   700044.00   700044.00     1066.00     1066.00      233.50      233.50   227798.50   227798.50   163584.50   163584.50
   19  6811364.00  6811364.00   131801.00   131801.00    12531.00    12531.00  2702084.00  2702084.00  1801383.00  1801383.00
   20 18550314.50 18550314.50   409716.50   409716.50    23376.50    23376.50  8814369.00  8814369.00  5968577.50  5968577.50

--------------------------------------------------------- podas_opt ---------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E 
   10     1586.50     1586.50      586.00      586.00       11.50       11.50      332.00      332.00      362.00      362.00
   11     2679.00     2679.00      662.50      662.50       67.00       67.00      305.50      305.50     1114.50     1114.50
   12     7965.50     7965.50     1364.50     1364.50       54.50       54.50     2318.50     2318.50     1631.50     1631.50
   13    32079.00    32079.00    11715.50    11715.50      486.00      486.00    10886.00    10886.00    11629.50    11629.50
   14    59531.50    59531.50     8600.00     8600.00      178.00      178.00     9044.00     9044.00    13191.50    13191.50
   15   102631.50   102631.50     2543.00     2543.00       91.00       91.00    24531.50    24531.50    36933.00    36933.00
   16   165072.00   165072.00    22037.00    22037.00      572.50      572.50    71216.50    71216.50    67780.00    67780.00
   17   262374.50   262374.50   119569.50   119569.50     5919.00     5919.00        0.00        0.00    68793.50    68793.50
   18   297629.00   297629.00      503.50      503.50       11.00       11.00     8711.50     8711.50    29314.00    29314.00
   19  2302149.00  2302149.00      608.00      608.00      876.00      876.00    88422.00    88422.00   568287.50   568287.50
   20  4920816.00  4920816.00    12401.00    12401.00     1690.50     1690.50        0.00        0.00   946730.00   946730.00

------------------------------------------------------------ maxA -----------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10     1212.50     1212.50      177.50      171.50      170.50      170.50     1121.00     1121.00      965.00      965.00
   11     2610.00     2578.50      899.00      899.00      293.50      293.50     2353.00     2351.50     1414.50     1414.50
   12     5589.50     5525.00      960.00      960.00      481.00      481.00     3953.50     3901.50     2995.50     2988.50
   13    27349.50    27311.00     6503.00     6156.50     2333.00     2333.00    19164.50    18790.50    15210.00    15023.00
   14    42883.50    42813.00     6139.00     5870.00     1219.00     1219.00    36210.50    35092.50    24497.00    24466.00
   15    93631.50    92909.50     7906.50     7432.00      920.50      920.50    56222.50    51734.50    30414.00    28064.50
   16   116668.00   114809.50    14662.00    14624.00     2782.50     2782.50    73373.00    71507.00    56582.50    53425.00
   17   260585.50   260585.50    51861.00    51861.00    10339.50    10339.50   151113.00   151113.00    26319.50    26319.50
   18   202284.50   199268.50      228.00      196.00      151.50      151.50   122932.50   115568.50    68036.00    63436.00
   19  1858066.50  1858017.50    67130.00    67103.00     6721.50     6721.50  1258655.00  1258655.00   415089.00   415089.00
   20  5855769.00  5784081.50   196053.50   189674.00    13311.00    13311.00  4570135.50  4570135.50  2273958.00  2273958.00

--------------------------------------------------------- podas_expl --------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10        0.00       66.50        0.00       13.50        0.00      169.50        0.00      922.00        0.00      813.50
   11        0.00       31.50        0.00      560.00        0.00      292.50        0.00     2071.50        0.00     1291.50
   12        0.00      848.50        0.00      533.50        0.00      479.50        0.00     2978.00        0.00     2768.50
   13        0.00     3368.50        0.00     2215.50        0.00     2332.00        0.00    15357.00        0.00    14033.00
   14        0.00       70.50        0.00     2942.00        0.00     1217.00        0.00    31649.00        0.00    23769.50
   15        0.00    31636.00        0.00     7548.00        0.00      919.50        0.00    54551.00        0.00    29952.00
   16        0.00     5043.50        0.00     7619.50        0.00     2781.50        0.00    50769.50        0.00    41995.50
   17        0.00        0.00        0.00        0.00        0.00    10339.00        0.00   151112.50        0.00    26318.00
   18        0.00    69992.50        0.00      167.00        0.00      151.00        0.00   122932.00        0.00    68035.00
   19        0.00   477772.50        0.00    67127.50        0.00     6720.00        0.00  1187645.50        0.00   367526.50
   20        0.00  3516408.50        0.00   196052.50        0.00    13310.00        0.00  4570133.50        0.00  2273952.50

--------------------------------------------------------- cost_expl ---------------------------------------------------------
talla      Cota1I      Cota1E      Cota4I      Cota4E      Cota5I      Cota5E      Cota6I      Cota6E      Cota7I      Cota7E
   10        0.00     1098.00        0.00      147.00        0.00      169.50        0.00     1831.00        0.00     1547.00
   11        0.00     2457.00        0.00     1431.50        0.00      292.50        0.00     4484.00        0.00     1996.00
   12        0.00    12356.00        0.00     1366.00        0.00      479.50        0.00     6813.00        0.00     3759.50
   13        0.00    72477.50        0.00    14160.00        0.00     2332.00        0.00    44486.00        0.00    35380.00
   14        0.00    32615.00        0.00     8001.00        0.00     1217.00        0.00    68887.50        0.00    40431.50
   15        0.00   214123.00        0.00    21651.50        0.00      919.50        0.00   119494.00        0.00    52039.00
   16        0.00   233285.50        0.00    22281.00        0.00     2781.50        0.00   112950.50        0.00   129438.00
   17        0.00   398792.50        0.00    36201.50        0.00    10339.00        0.00   151112.50        0.00    26318.00
   18        0.00   368585.50        0.00      340.00        0.00      151.00        0.00   222277.50        0.00   118610.00
   19        0.00  2209974.00        0.00    85328.50        0.00     6720.00        0.00  1370785.50        0.00   486961.50
   20        0.00  9948800.00        0.00   356306.00        0.00    13310.00        0.00  4570133.50        0.00  2273952.50
